No. ,"Author, Specimen Name ",Comments ,Specimen_Type,Load_History,Bar_Type,Steel_Origin,Bar_Grade,Nominal Diameter,Gauge Length,Corrosion_Method,Cathode_Type,Cleaning_Method,Current Density,Exposure Duration,Solution Concentration,Mass Loss,Corroded Length,Corrosion Penetration Depth,Fy,ln(Fy)
39,"Allam et al. (1994), 16HR-3",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,16,160,N,Carbon steel,Chemical,0.52,122,3.5,0.05,500,0.002,99.91,4.604265347
40,"Allam et al. (1994), 16HR-4",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,16,160,N,Carbon steel,Chemical,0.85,183,3.5,0.12,500,0.005,100.27,4.607909088
41,"Allam et al. (1994), 16HR-5",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,16,160,N,Carbon steel,Chemical,1.3,244,3.5,0.25,500,0.01,100.64,4.61154152
42,"Allam et al. (1994), 16HR-6",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,16,160,N,Carbon steel,Chemical,1.52,305,3.5,0.37,500,0.015,100.96,4.614689766
43,"Allam et al. (1994), 16HR-7",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,16,160,N,Carbon steel,Chemical,1.41,365,3.5,0.4,500,0.016,101.3,4.618043763
44,"Allam et al. (1994), 16HR-8",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,16,160,N,Carbon steel,Chemical,1.25,427,3.5,0.42,500,0.017,101.26,4.617683507
45,"Allam et al. (1994), 16HR-9",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,16,160,N,Carbon steel,Chemical,1.19,488,0,0.46,500,0.018,101.48,4.619880929
46,"Allam et al. (1994), 32HR-1",Control.,Bare,None,D,Saudi Arabia,Grade 60,32,256,Control,Control,N/A,0,0,3.5,0,0,0,404.62,6.002941009
47,"Allam et al. (1994), 32HR-2",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,32,256,N,Carbon steel,Chemical,0.82,61,3.5,0.02,500,0.002,406.97,6.00873876
48,"Allam et al. (1994), 32HR-3",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,32,256,N,Carbon steel,Chemical,1.04,122,3.5,0.05,500,0.004,407.43,6.009868097
49,"Allam et al. (1994), 32HR-4",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,32,256,N,Carbon steel,Chemical,0.82,183,3.5,0.06,500,0.005,407.09,6.009026129
50,"Allam et al. (1994), 32HR-5",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,32,256,N,Carbon steel,Chemical,1.18,244,3.5,0.11,500,0.009,409.53,6.015001513
51,"Allam et al. (1994), 32HR-6",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,32,256,N,Carbon steel,Chemical,1.44,305,3.5,0.17,500,0.014,412.63,6.022543402
52,"Allam et al. (1994), 32HR-7",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,32,256,N,Carbon steel,Chemical,1.22,365,3.5,0.18,500,0.014,416.19,6.03115369
53,"Allam et al. (1994), 32HR-8",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,32,256,N,Carbon steel,Chemical,1.12,427,3.5,0.19,500,0.015,416.28,6.031353882
54,"Allam et al. (1994), 32HR-9",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,32,256,N,Carbon steel,Chemical,1.04,488,3.5,0.2,500,0.016,417.06,6.033232862
55,"Almusallam (2001), ST1",Control.,Embedded,None,D,Saudi Arabia,Grade 60,6,280,Control,Control,N/A,0,0,0,0,0,0,16.43,2.799108932
56,"Almusallam (2001), ST2",Control.,Embedded,None,D,Saudi Arabia,Grade 60,6,280,Control,Control,N/A,0,0,0,0,0,0,16.43,2.799108932
57,"Almusallam (2001), ST3",Control.,Embedded,None,D,Saudi Arabia,Grade 60,6,280,Control,Control,N/A,0,0,0,0,0,0,16.43,2.799108932
58,"Almusallam (2001), 2SCB2",,Embedded,None,D,Saudi Arabia,Grade 60,6,280,IC,External stainless steel plate,Chemical,2000,1,5,1.1,280,0.017,13.9,2.63188884
59,"Almusallam (2001), 2SAA1",,Embedded,None,D,Saudi Arabia,Grade 60,6,280,IC,External stainless steel plate,Chemical,2000,1,5,1.45,280,0.022,13.9,2.63188884
60,"Almusallam (2001), 2SAA2",,Embedded,None,D,Saudi Arabia,Grade 60,6,280,IC,External stainless steel plate,Chemical,2000,1,5,1.45,280,0.022,13.9,2.63188884
61,"Almusallam (2001), 2SCA2",,Embedded,None,D,Saudi Arabia,Grade 60,6,280,IC,External stainless steel plate,Chemical,2000,6,5,12.64,280,0.19,12.19,2.500615943
62,"Almusallam (2001), 2SAB2",,Embedded,None,D,Saudi Arabia,Grade 60,6,280,IC,External stainless steel plate,Chemical,2000,6,5,13.89,280,0.208,11.34,2.428336298
63,"Almusallam (2001), 1SAG1",,Embedded,None,D,Saudi Arabia,Grade 60,6,280,IC,External stainless steel plate,Chemical,2000,8,5,17.83,280,0.267,10.41,2.342766883
64,"Almusallam (2001), 2SAH2",,Embedded,None,D,Saudi Arabia,Grade 60,6,280,IC,External stainless steel plate,Chemical,2000,16,5,32.02,280,0.48,5.35,1.677096561
65,"Almusallam (2001), 1SAI2",,Embedded,None,D,Saudi Arabia,Grade 60,6,280,IC,External stainless steel plate,Chemical,2000,24,5,48.25,280,0.724,6.47,1.867176109
66,"Almusallam (2001), 2SAI2",,Embedded,None,D,Saudi Arabia,Grade 60,6,280,IC,External stainless steel plate,Chemical,2000,24,5,75,280,1.125,3.46,1.241268589
67,"Almusallam (2001), 1PCA",,Embedded,None,D,Saudi Arabia,Grade 60,12,280,IC,External stainless steel plate,Chemical,2000,12,5,11.72,280,0.352,53.63,3.982108613
68,"Almusallam (2001), 1PAJ",,Embedded,None,D,Saudi Arabia,Grade 60,12,280,IC,External stainless steel plate,Chemical,2000,32,5,32.65,280,0.98,42.39,3.746912485
69,"Apostolopoulos et al. (2006), B-0",Control. TEMPCORE,Bare,None,D,Greece,BSt 500S,8,120,Control,Control,N/A,0,0,0,0,0,0,29.07,3.369829
70,"Apostolopoulos et al. (2006), B-10",TEMPCORE,Bare,None,D,Greece,BSt 500S,8,120,EI,Carbon steel,Mechanical,38.14,10,5,0.6,230,0.012,28.06,3.33428065
71,"Apostolopoulos et al. (2006), B-20",TEMPCORE,Bare,None,D,Greece,BSt 500S,8,120,EI,Carbon steel,Mechanical,138.63,20,5,4.32,230,0.086,26.87,3.291082133
72,"Apostolopoulos et al. (2006), B-30",TEMPCORE,Bare,None,D,Greece,BSt 500S,8,120,EI,Carbon steel,Mechanical,190.05,30,5,8.78,230,0.176,24.14,3.183766013
73,"Apostolopoulos et al. (2006), B-45",TEMPCORE,Bare,None,D,Greece,BSt 500S,8,120,EI,Carbon steel,Mechanical,250.35,45,5,16.96,230,0.339,21.18,3.052908498
74,"Apostolopoulos et al. (2006), B-60",TEMPCORE,Bare,None,D,Greece,BSt 500S,8,120,EI,Carbon steel,Mechanical,272.76,60,5,24.12,230,0.482,16.01,2.773499727
75,"Apostolopoulos et al. (2006), B-90",TEMPCORE,Bare,None,D,Greece,BSt 500S,8,120,EI,Carbon steel,Mechanical,243.21,90,5,31.51,230,0.63,14.32,2.661701571
76,"Apostolopoulos and Papadakis (2007), B-0",Control,Bare,None,D,Greece,BSt 420,10,150,Control,Control,N/A,0,0,0,0,0,0,34.95,3.553924714
77,"Apostolopoulos and Papadakis (2007), B-10",,Bare,None,D,Greece,BSt 420,10,150,EI,Carbon steel,Mechanical,104.29,10,5,1.31,250,0.033,34.51,3.541237833
78,"Apostolopoulos and Papadakis (2007), B-20",,Bare,None,D,Greece,BSt 420,10,150,EI,Carbon steel,Mechanical,94.19,20,5,2.36,250,0.059,34.01,3.52658816
79,"Apostolopoulos and Papadakis (2007), B-30",,Bare,None,D,Greece,BSt 420,10,150,EI,Carbon steel,Mechanical,145.08,30,5,5.41,250,0.135,33.03,3.49755647
80,"Apostolopoulos and Papadakis (2007), B-40",,Bare,None,D,Greece,BSt 420,10,150,EI,Carbon steel,Mechanical,132.13,40,5,6.55,250,0.164,32.02,3.466259395
81,"Apostolopoulos and Papadakis (2007), B-60",,Bare,None,D,Greece,BSt 420,10,150,EI,Carbon steel,Mechanical,143.13,60,5,10.53,250,0.263,31.49,3.449537507
82,"Apostolopoulos and Papadakis (2008), A1","40 year old offshore house, Athens, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.82,14610,5,14.5,250,0.363,32.5,3.481233197
83,"Apostolopoulos and Papadakis (2008), A2","40 year old offshore house, Athens, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.48,14610,5,8.67,250,0.217,38.57,3.652498205
84,"Apostolopoulos and Papadakis (2008), A3","40 year old offshore house, Athens, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.91,14610,5,16,250,0.4,37.64,3.628093679
85,"Apostolopoulos and Papadakis (2008), A4","40 year old offshore house, Athens, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.67,14610,5,11.9,250,0.298,36.63,3.6008083
86,"Apostolopoulos and Papadakis (2008), A5","40 year old offshore house, Athens, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.87,14610,5,15.46,250,0.387,34.01,3.526634348
87,"Apostolopoulos and Papadakis (2008), A6","40 year old offshore house, Athens, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.77,14610,5,13.7,250,0.343,34.35,3.53646989
88,"Apostolopoulos and Papadakis (2008), A7","40 year old offshore house, Athens, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.5,14610,5,8.96,250,0.224,33.33,3.506432583
89,"Apostolopoulos and Papadakis (2008), B1","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.27,10957,5,3.71,250,0.093,37.38,3.621268286
90,"Apostolopoulos and Papadakis (2008), B2","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.42,10957,5,5.69,250,0.142,36.27,3.590982329
91,"Apostolopoulos and Papadakis (2008), B3","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.56,10957,5,7.63,250,0.191,39.26,3.67025851
92,"Apostolopoulos and Papadakis (2008), B4","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.32,10957,5,4.42,250,0.111,42.19,3.742220896
93,"Apostolopoulos and Papadakis (2008), B5","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.49,10957,5,6.63,250,0.166,37.22,3.616846761
94,"Apostolopoulos and Papadakis (2008), B6","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.66,10957,5,8.88,250,0.222,33.69,3.517307351
95,"Apostolopoulos and Papadakis (2008), B7","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.5,10957,5,6.8,250,0.17,33.69,3.517307351
96,"Apostolopoulos and Papadakis (2008), B9","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.35,10957,5,4.81,250,0.12,44.45,3.794267816
97,"Apostolopoulos and Papadakis (2008), B10","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.73,10957,5,9.79,250,0.245,41.75,3.731741759
98,"Apostolopoulos and Papadakis (2008), B13","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.2,10957,5,2.77,250,0.069,39.69,3.681002744
99,"Apostolopoulos and Papadakis (2008), B15","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.34,10957,5,4.58,250,0.115,35.46,3.568425805
100,"Apostolopoulos and Papadakis (2008), B16","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.72,10957,5,9.74,250,0.244,40.23,3.694565606
101,"Apostolopoulos and Papadakis (2008), B17","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.02,10957,5,0.25,250,0.006,42.23,3.743151216
102,"Apostolopoulos and Papadakis (2008), B18","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.24,10957,5,3.3,250,0.083,45.93,3.82712034
103,"Apostolopoulos and Papadakis (2008), B19","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.25,10957,5,3.48,250,0.087,44.98,3.806212451
104,"Apostolopoulos and Papadakis (2008), B20","30 year old industrial building, Aegion, Greece.",Embedded,SLS,D,Greece,BSt 420,10,150,N,Internal carbon steel,Mechanical,0.43,10957,5,5.8,250,0.145,47.71,3.865037984
105,"Apostolopoulos and Papadopoulos (2007), B-0",Control.,Bare,None,D,Greece,S400,10,150,Control,Control,N/A,0,0,0,0,0,0,36.06,3.585074919
106,"Apostolopoulos and Papadopoulos (2007), B-10",,Bare,None,D,Greece,S400,10,150,EI,Carbon steel,Mechanical,125.87,10,5,1.58,260,0.04,35.19,3.560866854
107,"Apostolopoulos and Papadopoulos (2007), B-20",,Bare,None,D,Greece,S400,10,150,EI,Carbon steel,Mechanical,99.81,20,5,2.5,260,0.063,34.41,3.538411749
108,"Apostolopoulos and Papadopoulos (2007), B-30",,Bare,None,D,Greece,S400,10,150,EI,Carbon steel,Mechanical,100.67,30,5,3.77,260,0.094,34.27,3.534295105
109,"Apostolopoulos and Papadopoulos (2007), B-45",,Bare,None,D,Greece,S400,10,150,EI,Carbon steel,Mechanical,92.55,45,5,5.18,260,0.13,33.55,3.512938848
110,"Apostolopoulos and Papadopoulos (2007), B-60",,Bare,None,D,Greece,S400,10,150,EI,Carbon steel,Mechanical,97.41,60,5,7.23,260,0.181,32.48,3.480483762
111,"Apostolopoulos and Papadopoulos (2007), B-90",,Bare,None,D,Greece,S400,10,150,EI,Carbon steel,Mechanical,76.42,90,5,8.48,260,0.212,31.81,3.45976219
112,"Papadopoulos et al. (2007), S-0",Control. TEMPCORE,Bare,None,D,Greece,S500S,12,150,Control,Control,N/A,0,0,0,0,0,0,67.63,4.214084299
113,"Papadopoulos et al. (2007), S-10",TEMPCORE,Bare,None,D,Greece,S500S,12,150,EI,Carbon steel,Mechanical,132.82,10,5,1.39,250,0.042,66.5,4.197220493
114,"Papadopoulos et al. (2007), S-20",TEMPCORE,Bare,None,D,Greece,S500S,12,150,EI,Carbon steel,Mechanical,88.49,20,5,1.85,250,0.055,64.8,4.171379262
115,"Papadopoulos et al. (2007), S-30",TEMPCORE,Bare,None,D,Greece,S500S,12,150,EI,Carbon steel,Mechanical,92.72,30,5,2.9,250,0.087,63.56,4.151995395
116,"Papadopoulos et al. (2007), S-45",TEMPCORE,Bare,None,D,Greece,S500S,12,150,EI,Carbon steel,Mechanical,81.62,45,5,3.82,250,0.115,62.43,4.134041592
117,"Papadopoulos et al. (2007), S-60",TEMPCORE,Bare,None,D,Greece,S500S,12,150,EI,Carbon steel,Mechanical,87.86,60,5,5.46,250,0.164,60.73,4.10649164
118,"Papadopoulos et al. (2007), S-90",TEMPCORE,Bare,None,D,Greece,S500S,12,150,EI,Carbon steel,Mechanical,82.32,90,5,7.63,250,0.229,56.66,4.037099646
119,"Papadopoulos et al. (2007), B-0",Control.,Bare,None,D,Greece,B500C,12,150,Control,Control,N/A,0,0,0,0,0,0,67.41,4.210734212
120,"Papadopoulos et al. (2007), B-10",TEMPCORE,Bare,None,D,Greece,B500C,12,150,EI,Carbon steel,Mechanical,87.8,10,5,0.92,250,0.028,66.16,4.192105393
121,"Papadopoulos et al. (2007), B-20",TEMPCORE,Bare,None,D,Greece,B500C,12,150,EI,Carbon steel,Mechanical,84.16,20,5,1.76,250,0.053,65.26,4.178335812
122,"Papadopoulos et al. (2007), B-30",TEMPCORE,Bare,None,D,Greece,B500C,12,150,EI,Carbon steel,Mechanical,76.96,30,5,2.41,250,0.072,65.26,4.178335812
123,"Papadopoulos et al. (2007), B-45",TEMPCORE,Bare,None,D,Greece,B500C,12,150,EI,Carbon steel,Mechanical,86.15,45,5,4.03,250,0.121,62.32,4.132228354
124,"Papadopoulos et al. (2007), B-60",TEMPCORE,Bare,None,D,Greece,B500C,12,150,EI,Carbon steel,Mechanical,88.84,60,5,5.52,250,0.166,58.92,4.076243587
125,"Papadopoulos et al. (2007), B-90",TEMPCORE,Bare,None,D,Greece,B500C,12,150,EI,Carbon steel,Mechanical,96.69,90,5,8.93,250,0.268,56.89,4.041083715
126,"Cobo et al. (2011), R-16-1",Control.,Embedded,None,D,Spain,B500SD,16,200,Control,Control,N/A,0,0,0,0,0,0,108.76,4.689110597
127,"Cobo et al. (2011), R-16-2",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,504,3.5,4.01,460,0.16,99.88,4.603921725
128,"Cobo et al. (2011), R-16-3",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,625,3.5,4.97,460,0.199,102,4.624938839
129,"Cobo et al. (2011), R-16-4",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,644,3.5,5.12,460,0.205,101.3,4.618100125
130,"Cobo et al. (2011), R-16-5",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,742,3.5,5.9,460,0.236,98.85,4.593651396
131,"Cobo et al. (2011), R-16-6",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,824,3.5,6.55,460,0.262,105.61,4.659793808
132,"Cobo et al. (2011), R-16-7",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,855,3.5,6.8,460,0.272,85.87,4.452850113
133,"Cobo et al. (2011), R-16-8",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,893,3.5,7.1,460,0.284,98.66,4.591705082
